country,2020,2021,2022,2023,2024,
pop1_2020,pop2_2020,pop1_2021,pop2_2021,pop1_2022,pop2_2022,pop1_2023,pop2_2023,pop1_2024,pop2_2024
Afghanistan,English,Spanish,English,Turkish,German,English,English,German,English,German
Albania,German,English,German,English,German,English,German,English,English,German
Algeria,English,French,English,French,English,French,English,French,English,French
Andorra,English,French,English,French,English,French,English,French,English,Spanish
Angola,English,French,English,French,English,French,English,French,English,French
Antigua-Barbuda,Spanish,French,Spanish,French,Spanish,French,Spanish,French,Spanish,French
Argentina,English,Italian,English,Italian,English,Italian,English,Italian,English,Portuguese
Armenia,English,French,English,French,English,French,English,French,English,French
Australia,Spanish,French,French,Spanish,French,Spanish,Spanish,French,Spanish,French
Austria,English,Spanish,English,Spanish,English,German,English,German,English,German
Azerbaijan,English,Russian,English,Russian,English,Russian,English,Russian,English,Turkish
Bahamas,Spanish,French,Spanish,French,Spanish,French,Spanish,French,Spanish,French
Bahrain,English,French,English,French,English,French,English,French,English,French
Bangladesh,Spanish,French,English,Spanish,English,Korean,English,Korean,English,Korean
Barbados,Spanish,French,Spanish,French,Spanish,French,Spanish,French,Spanish,French
Belarus,English,German,English,German,English,German,English,German,English,German
Belgium,English,Spanish,English,French,English,French,English,French,English,French
Belize,Spanish,English,Spanish,English,Spanish,English,Spanish,English,Spanish,English
Benin,English,Spanish,English,French,English,French,English,Spanish,English,Spanish
Bhutan,Korean,Japanese,Korean,Japanese,Korean,Japanese,Japanese,Korean,Japanese,Korean
Bolivia,English,Portuguese,English,Portuguese,English,Portuguese,English,Portuguese,English,Portuguese
Bosnia-Herzegovina,German,Spanish,German,Spanish,German,Spanish,German,Spanish,German,English
Botswana,French,Spanish,French,Spanish,French,Spanish,French,Spanish,French,Spanish
Brazil,English,Spanish,English,Spanish,English,Spanish,English,Spanish,English,Spanish
Brunei,Korean,Japanese,Japanese,Korean,Korean,Japanese,Japanese,Korean,Japanese,Chinese
Bulgaria,English,Spanish,English,Spanish,English,Spanish,English,Spanish,English,German
Burkina-Faso,English,Spanish,English,Spanish,English,French,English,French,English,French
Burundi,English,Spanish,English,French,English,French,English,French,English,French
Cabo-Verde,English,French,English,French,English,French,English,French,English,French
Cambodia,English,Chinese,English,Chinese,English,Chinese,English,Chinese,English,Chinese
Cameroon,English,Spanish,English,Spanish,English,Spanish,English,German,English,German
Canada,French,Spanish,French,Spanish,French,Spanish,French,Spanish,French,Spanish
Central African Republic,English,French,English,French,English,French,English,French,English,French
Chad,English,French,English,French,English,French,English,French,English,French
Chile,English,French,English,French,English,French,English,French,English,Portuguese
China,English,Japanese,English,Japanese,English,Japanese,English,Japanese,English,Japanese
Colombia,English,French,English,French,English,French,English,French,English,French
Comoros,English,Spanish,English,Spanish,English,French,English,French,English,French
Congo,English,Spanish,English,Spanish,English,Spanish,English,Spanish,English,Spanish
Costa-Rica,English,French,English,French,English,Spanish,English,Spanish,English,Spanish
Cote-dIvoire,English,Spanish,English,Spanish,English,Spanish,English,Spanish,English,Spanish
Croatia,German,Spanish,German,Spanish,German,Spanish,German,English,English,Spanish
Cuba,English,French,English,French,English,French,English,French,English,French
Cyprus,English,Spanish,English,Spanish,English,Spanish,English,Spanish,English,Spanish
Czechia,English,Spanish,English,German,English,German,English,German,English,German
Democratic-Rep-Congo,English,Spanish,English,French,English,French,English,French,English,French
Denmark,Spanish,Danish,Spanish,Danish,Spanish,Danish,Spanish,German,Spanish,German
Djibouti,English,French,English,French,English,French,English,French,English,French
Dominica,Spanish,French,Spanish,French,Spanish,French,Spanish,French,Spanish,French
Dominican-Rep,English,French,English,French,English,French,English,French,English,French
Ecuador,English,French,English,French,English,French,English,French,English,French
Egypt,English,German,English,French,English,French,English,French,English,French
El-Salvador,English,French,English,French,English,French,English,French,English,French
Equatorial Guinea,English,Spanish,English,Spanish,English,French,English,French,English,French
Eritrea,French,Spanish,French,Spanish,French,Spanish,French,English,English,French
Estonia,English,Spanish,English,Spanish,English,Spanish,English,Spanish,English,Spanish
eSwatini,French,Spanish,French,Spanish,French,Spanish,French,Spanish,French,Spanish
Ethiopia,French,Spanish,French,Spanish,French,Spanish,French,Spanish,English,French
Fiji,Spanish,French,Spanish,French,Spanish,French,Spanish,French,Spanish,French
Finland,Spanish,Swedish,Spanish,Finnish,Spanish,Finnish,Spanish,Finnish,Spanish,Finnish
France,English,Spanish,English,Spanish,English,Spanish,English,Spanish,English,Spanish
Gabon,English,Spanish,English,Spanish,English,Spanish,English,Spanish,English,Spanish
Gambia,French,Spanish,French,Spanish,French,Spanish,French,English,French,English
Georgia,English,German,English,German,English,German,English,German,English,German
Germany,English,Spanish,English,Spanish,English,German,English,German,English,German
Ghana,French,Spanish,French,Spanish,French,Spanish,French,Spanish,French,Spanish
Great-Britain,Spanish,French,Spanish,French,Spanish,French,Spanish,French,Spanish,French
Greece,English,Spanish,English,Spanish,English,Spanish,English,Spanish,English,Spanish
Grenada,Spanish,French,Spanish,French,Spanish,French,Spanish,French,Spanish,French
Guatemala,English,French,English,French,English,French,English,French,English,French
Guinea,English,French,English,French,English,French,English,French,English,French
Guinea Bissau,English,French,English,Portuguese,English,French,English,French,English,French
Guyana,Spanish,French,Spanish,French,Spanish,English,Spanish,English,Spanish,English
Haiti,English,Spanish,English,Spanish,English,Spanish,English,Spanish,English,Spanish
Honduras,English,French,English,French,English,French,English,French,English,French
Hungary,English,German,English,German,English,German,English,German,English,German
Iceland,Spanish,Danish,Spanish,Danish,Spanish,French,Spanish,French,Spanish,English
India,English,Hindi,English,Hindi,English,Hindi,English,Hindi,English,Hindi
Indonesia,English,Korean,English,Korean,English,Japanese,English,Japanese,English,Japanese
Iran,English,German,English,German,English,German,German,English,English,German
Iraq,English,French,English,Turkish,English,French,English,French,English,French
Ireland,Irish,Spanish,Irish,Spanish,Spanish,Irish,Spanish,Irish,Spanish,Irish
Israel,English,Spanish,English,Spanish,English,Hebrew,English,Hebrew,English,Hebrew
Italy,English,French,English,Spanish,English,Italian,English,Italian,English,Italian
Jamaica,Spanish,French,Spanish,French,Spanish,French,Spanish,French,Spanish,French
Japan,English,Japanese,English,Korean,English,Korean,English,Korean,English,Korean
Jordan,English,French,English,Turkish,English,French,English,French,English,French
Kazakhstan,English,German,English,Russian,English,German,English,French,English,French
Kenya,French,Spanish,French,Spanish,French,Spanish,French,Spanish,French,Spanish
Kiribati,Spanish,French,Spanish,Korean,Spanish,Chinese,Spanish,Japanese,English,Spanish
Kuwait,English,French,English,French,English,French,English,French,English,French
Kyrgyzstan,English,German,English,Russian,English,Russian,English,Russian,English,Russian
Lao,English,Spanish,English,Chinese,English,Chinese,English,Chinese,English,Chinese
Latvia,English,Spanish,English,German,English,Spanish,English,German,English,German
Lebanon,English,Spanish,English,French,English,French,English,French,English,French
Lesotho,French,Spanish,French,Spanish,French,Spanish,French,Spanish,French,Spanish
Liberia,French,Spanish,French,Spanish,French,Spanish,French,Spanish,French,English
Libya,English,French,English,French,English,French,English,French,English,French
Lichtenstein,English,Spanish,English,Spanish,English,German,English,German,English,Spanish
Lithuania,English,Spanish,English,Spanish,English,Russian,English,Spanish,English,Spanish
Luxembourg,English,French,French,English,English,French,English,French,English,French
Macedonia,German,Spanish,German,Spanish,German,Spanish,German,Spanish,German,English
Madagascar,English,Spanish,English,Spanish,English,Spanish,English,French,English,French
Malawi,French,Spanish,French,Spanish,French,Spanish,French,Spanish,English,French
Malaysia,Korean,Japanese,Japanese,Korean,Japanese,Korean,Japanese,English,English,Japanese
Maldives,Spanish,English,Spanish,English,Spanish,English,English,Spanish,English,Spanish
Mali,English,French,English,French,English,French,English,French,English,French
Malta,Spanish,Italian,Italian,Spanish,Italian,Spanish,English,Italian,English,Spanish
Marshall Islands,Spanish,Japanese,Spanish,Japanese,Spanish,Japanese,Spanish,Japanese,Spanish,Japanese
Mauritania,English,French,English,French,English,French,English,French,English,French
Mauritius,Spanish,English,Spanish,French,French,Spanish,French,English,French,English
Mexico,English,French,English,French,English,French,English,French,English,French
Micronesia,Japanese,Spanish,Japanese,Spanish,Spanish,Japanese,Spanish,Japanese,Spanish,Japanese
Moldova,English,German,English,German,English,German,English,German,English,German
Monaco,English,French,French,English,French,English,French,English,English,French
Mongolia,English,Korean,Korean,English,Korean,English,Korean,English,English,Korean
Montenegro,German,Spanish,English,German,English,Spanish,English,Spanish,English,Spanish
Morocco,English,French,English,French,English,French,English,French,English,French
Mozambique,English,French,English,Portuguese,English,French,English,French,English,French
Myanmar,Japanese,Chinese,Japanese,Korean,Japanese,Korean,Japanese,Chinese,English,Japanese
Namibia,German,Spanish,German,Spanish,German,Spanish,German,Spanish,German,Spanish
Nauru,Spanish,French,French,Spanish,Spanish,Chinese,Chinese,Spanish,Spanish,Chinese
Nepal,English,Spanish,English,Spanish,English,Japanese,English,Korean,English,Japanese
Netherlands,English,Spanish,English,Spanish,English,Spanish,English,Spanish,English,Spanish
New Zealand,Spanish,French,Spanish,French,Spanish,French,Spanish,French,Spanish,French
Nicaragua,English,French,English,French,English,French,English,French,English,French
Niger,English,French,English,French,English,French,English,French,English,French
Nigeria,French,Spanish,French,Spanish,French,Spanish,French,Spanish,French,Spanish
Norway,Spanish,Norwegian,Spanish,Norwegian,Spanish,Norwegian,Spanish,Norwegian,Spanish,Norwegian
Oman,English,French,English,French,English,French,English,French,English,French
Pakistan,English,Spanish,English,Turkish,English,Korean,English,Arabic,English,Arabic
Palau,Spanish,English,Spanish,Japanese,Spanish,Japanese,Spanish,Japanese,Japanese,English
Panama,English,French,English,French,English,French,English,French,English,French
Papua New Guinea,Spanish,French,Spanish,French,Spanish,French,Spanish,French,Spanish,English
