Category: All categories

Month,learning english: (United States),learning spanish: (United States),learning french: (United States),learning japanese: (United States),learning language: (United States)
2019-03,29,29,9,7,60
2019-04,32,29,9,7,55
2019-05,31,30,9,7,54
2019-06,28,26,9,7,51
2019-07,25,26,8,8,47
2019-08,29,31,8,6,50
2019-09,37,34,10,7,60
2019-10,35,34,9,7,63
2019-11,31,27,9,7,55
2019-12,27,24,8,7,64
2020-01,32,32,9,8,65
2020-02,33,32,9,7,64
2020-03,32,36,10,7,65
2020-04,35,40,12,10,83
2020-05,32,32,11,9,72
2020-06,30,27,8,9,65
2020-07,31,29,8,10,66
2020-08,30,35,9,10,68
2020-09,37,42,12,10,77
2020-10,30,30,11,8,65
2020-11,25,22,7,8,50
2020-12,24,22,7,8,48
2021-01,26,26,8,9,51
2021-02,27,26,8,8,56
2021-03,27,24,7,8,52
2021-04,26,24,7,8,50
2021-05,26,22,7,8,49
2021-06,24,22,7,8,44
2021-07,22,19,7,8,46
2021-08,24,24,7,7,45
2021-09,30,26,8,7,52
2021-10,30,25,8,8,54
2021-11,28,24,7,7,49
2021-12,24,21,8,8,47
2022-01,30,31,9,9,62
2022-02,33,29,9,8,64
2022-03,32,30,8,8,75
2022-04,35,30,10,10,75
2022-05,33,29,10,9,72
2022-06,30,28,8,8,58
2022-07,28,27,8,8,59
2022-08,31,32,9,8,64
2022-09,36,35,10,8,75
2022-10,35,32,11,8,81
2022-11,34,30,10,8,80
2022-12,30,30,9,9,68
2023-01,37,35,11,10,82
2023-02,39,36,11,9,86
2023-03,36,33,10,9,84
2023-04,39,33,9,9,82
2023-05,36,33,10,8,77
2023-06,32,35,8,9,73
2023-07,28,29,8,9,66
2023-08,32,33,8,9,69
2023-09,39,38,11,9,87
2023-10,39,35,11,8,90
2023-11,33,33,10,9,86
2023-12,32,32,9,9,77
2024-01,37,36,11,11,88
2024-02,40,36,10,12,100
2024-03,35,34,11,11,94
2024-04,39,39,10,10,89
2024-05,36,31,9,10,76
2024-06,30,29,9,10,73
2024-07,28,28,8,10,71
2024-08,32,34,9,10,72
2024-09,43,39,11,10,95
2024-10,38,33,10,10,96
2024-11,40,33,11,10,84
2024-12,42,35,11,11,96
