State,Number of Languages,Total Speakers,Percentage,Population
Alabama,15,98130,4.7,5024227
Alaska,15,24409,10.8,733391
Arizona,15,541393,8.2,7664826
Arkansas,15,86490,8.1,3040928
California,15,6372185,18.9,39512223
Colorado,15,286177,10.4,5946924
Connecticut,15,252070,9.4,3605944
Delaware,15,38148,11.5,1006330
District of Columbia,15,29940,11.3,712816
Florida,15,2031213,9.5,22244823
Georgia,15,513812,7.7,10843394
Hawaii,15,124283,10,1455271
Idaho,15,58116,5.8,1893667
Illinois,15,1000504,12.8,12801539
Indiana,15,191715,7,6811719
Iowa,15,83468,6.2,3215517
Kansas,15,110113,8,3008933
Kentucky,15,73898,5.4,4549624
Louisiana,15,118279,4.9,4681666
Maine,15,19667,3.1,1362359
Maryland,15,349952,11.2,6177224
Massachusetts,15,564723,10.5,7029917
Michigan,15,287854,6.4,10077331
Minnesota,15,202367,8.8,5706494
Mississippi,15,40690,3.1,2986530
Missouri,15,238485,3.8,6169270
Montana,15,10442,2.4,1086259
Nebraska,15,87247,7.3,1961504
Nevada,15,341599,13.8,3201829
New Hampshire,15,25160,2.8,1377529
New Jersey,15,1072494,8.2,9304953
New Mexico,15,181063,18.8,2117888
New York,15,2283584,9.7,20201249
North Carolina,15,442246,8,10739338
North Dakota,15,10127,3.3,779094
Ohio,15,217514,3.8,11799448
Oklahoma,15,147189,9.3,4023986
Oregon,15,226909,9.5,4320748
Pennsylvania,15,389618,4.6,13002700
Rhode Island,15,83932,12.5,1097379
South Carolina,15,127563,5.8,5219006
South Dakota,15,13435,4.6,886667
Tennessee,15,161042,5.8,6910840
Texas,15,3771857,20.2,30178242
Utah,15,122608,8.3,3388258
Vermont,15,7806,2,643077
Virginia,15,412409,9.4,8631393
Washington,15,478266,11.4,7860897
West Virginia,15,13074,0.8,1793047
Wisconsin,15,158324,5.9,5893718
Wyoming,15,11615,2.7,582658
